,ID,collection,procedence,GC_ID,n_contigs,tot_length,N50,N90,n_genes,quality,kingdom,phylum,class,order,family,genus,taxonomic_group,host,compartment,soil,alternative_ID,plate_position,acession_number,RSV_V2V4_ID,RSV_V5V7_ID,copy_number_16S,Bacterial Strain
0,Chlamy6,AlSPHERE,AlSPHERE,,44,5616946,245559,82993,5287,clean,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_2,RSV_V5-V7_19,2.439378701,6
1,Chlamy7,AlSPHERE,AlSPHERE,,6,2691583,936859,196846,2699,clean,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_29,RSV_V5-V7_10,0.757497104,7
2,Chlamy8,AlSPHERE,AlSPHERE,,38,4662562,208451,74226,4513,clean,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_30,RSV_V5-V7_1,2.267517882,8
3,Chlamy19,AlSPHERE,AlSPHERE,,40,5996443,399576,148990,5471,clean,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_4,RSV_V5-V7_36,4.01594015,19
4,Chlamy23,AlSPHERE,AlSPHERE,,52,5080456,456701,102709,4712,clean,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_23,RSV_V5-V7_4,8.283169932,23
5,Chlamy24,AlSPHERE,AlSPHERE,,44,4330029,247329,64478,3941,clean,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_5,RSV_V5-V7_5,3.251109594,24
6,Chlamy26,AlSPHERE,AlSPHERE,,26,4504141,347777,121626,4163,clean,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_34,RSV_V5-V7_11,9.93227525,26
7,Chlamy28,AlSPHERE,AlSPHERE,,25,5624764,443196,160858,5127,clean,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_7,RSV_V5-V7_21,2.414820621,28
8,Chlamy43,AlSPHERE,AlSPHERE,,68,5326932,252783,50440,4731,clean,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_6,RSV_V5-V7_38,4.078238218,43
9,Chlamy44,AlSPHERE,AlSPHERE,,41,4583277,309263,75094,4209,clean,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_35,RSV_V5-V7_12,9.310858368,44
10,Chlamy45,AlSPHERE,AlSPHERE,,23,5087665,470147,391402,4596,clean,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_22,RSV_V5-V7_47,6.653709751,45
11,Chlamy52,AlSPHERE,AlSPHERE,,12,4269150,856879,318786,4174,clean,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_24,RSV_V5-V7_6,1.7409925480000001,52
12,Chlamy74,AlSPHERE,AlSPHERE,,23,3474749,264537,113917,3247,clean,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_32,RSV_V5-V7_32,3.261561214,74
13,Chlamy75,AlSPHERE,AlSPHERE,,10,4594378,600866,391938,4405,clean,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_31,RSV_V5-V7_2,0.7770385590000001,75
14,Chlamy77,AlSPHERE,AlSPHERE,,63,5738642,232781,57880,5113,clean,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_10,RSV_V5-V7_22,5.679775918,77
15,Chlamy88,AlSPHERE,AlSPHERE,,110,6220161,109230,29708,5612,clean,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_11,RSV_V5-V7_39,4.541509699,88
16,Chlamy90,AlSPHERE,AlSPHERE,,67,6795912,304981,86557,6136,clean,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_12,RSV_V5-V7_13,6.593017466,90
17,Chlamy107,AlSPHERE,AlSPHERE,,37,6498100,322229,141820,5805,clean,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_16,RSV_V5-V7_14,6.123009333,107
18,Chlamy123,AlSPHERE,AlSPHERE,,13,4582125,896773,321408,4151,clean,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_17,RSV_V5-V7_7,4.28096726,123
19,Chlamy125,AlSPHERE,AlSPHERE,,78,6180333,168974,52336,5620,clean,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_18,RSV_V5-V7_16,6.213510609,125
20,Chlamy134,AlSPHERE,AlSPHERE,,932,3095454,4821,1429,3151,clean,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_25,RSV_V5-V7_3,2.728160993,134
21,Chlamy165,AlSPHERE,AlSPHERE,,73,6187327,203588,58990,5621,clean,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_21,RSV_V5-V7_17,5.861561872,165
22,Chlamy174,AlSPHERE,AlSPHERE,,32,3910916,209996,77332,3665,clean,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,,Chlamydomonas reinhardtii,Phycosphere,CAS,,,,RSV_V2-V4_26,RSV_V5-V7_9,0.952124372,174
